FilePath,FileName,Directory,DateTimeOriginal,FileModifyDate,DateTime,DateTimeModified,DateTimeAdjusted,Region,Site,Camera,NewName
U:/Test Images/Peru/S90/SDZG 1/EK000001.JPG,EK000001.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:01 15:22:09,2014:07:01 13:22:08-07:00,2014-07-01 15:22:09,2014-07-01 13:22:08,2014-07-01 13:22:08,Test Images,Peru,S90,Test Images_Peru_20140701_152209_EK000001.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000002.JPG,EK000002.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:01 15:22:10,2014:07:01 13:22:10-07:00,2014-07-01 15:22:10,2014-07-01 13:22:10,2014-07-01 13:22:10,Test Images,Peru,S90,Test Images_Peru_20140701_152210_EK000002.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000003.JPG,EK000003.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:01 15:22:10,2014:07:01 13:22:10-07:00,2014-07-01 15:22:10,2014-07-01 13:22:10,2014-07-01 13:22:10,Test Images,Peru,S90,Test Images_Peru_20140701_152210_EK000003.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000004.JPG,EK000004.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 02:54:52,2014:07:02 00:54:52-07:00,2014-07-02 02:54:52,2014-07-02 00:54:52,2014-07-02 00:54:52,Test Images,Peru,S90,Test Images_Peru_20140702_025452_EK000004.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000005.JPG,EK000005.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 02:54:53,2014:07:02 00:54:52-07:00,2014-07-02 02:54:53,2014-07-02 00:54:52,2014-07-02 00:54:52,Test Images,Peru,S90,Test Images_Peru_20140702_025453_EK000005.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000006.JPG,EK000006.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 02:54:53,2014:07:02 00:54:54-07:00,2014-07-02 02:54:53,2014-07-02 00:54:54,2014-07-02 00:54:54,Test Images,Peru,S90,Test Images_Peru_20140702_025453_EK000006.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000007.JPG,EK000007.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 11:44:51,2014:07:02 09:44:50-07:00,2014-07-02 11:44:51,2014-07-02 09:44:50,2014-07-02 09:44:50,Test Images,Peru,S90,Test Images_Peru_20140702_114451_EK000007.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000008.JPG,EK000008.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 11:44:51,2014:07:02 09:44:50-07:00,2014-07-02 11:44:51,2014-07-02 09:44:50,2014-07-02 09:44:50,Test Images,Peru,S90,Test Images_Peru_20140702_114451_EK000008.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000009.JPG,EK000009.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 11:44:52,2014:07:02 09:44:52-07:00,2014-07-02 11:44:52,2014-07-02 09:44:52,2014-07-02 09:44:52,Test Images,Peru,S90,Test Images_Peru_20140702_114452_EK000009.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000010.JPG,EK000010.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 12:06:46,2014:07:02 10:06:46-07:00,2014-07-02 12:06:46,2014-07-02 10:06:46,2014-07-02 10:06:46,Test Images,Peru,S90,Test Images_Peru_20140702_120646_EK000010.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000011.JPG,EK000011.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 12:06:47,2014:07:02 10:06:46-07:00,2014-07-02 12:06:47,2014-07-02 10:06:46,2014-07-02 10:06:46,Test Images,Peru,S90,Test Images_Peru_20140702_120647_EK000011.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000012.JPG,EK000012.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 12:06:47,2014:07:02 10:06:46-07:00,2014-07-02 12:06:47,2014-07-02 10:06:46,2014-07-02 10:06:46,Test Images,Peru,S90,Test Images_Peru_20140702_120647_EK000012.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000013.JPG,EK000013.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 22:21:50,2014:07:02 20:21:50-07:00,2014-07-02 22:21:50,2014-07-02 20:21:50,2014-07-02 20:21:50,Test Images,Peru,S90,Test Images_Peru_20140702_222150_EK000013.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000014.JPG,EK000014.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 22:21:50,2014:07:02 20:21:50-07:00,2014-07-02 22:21:50,2014-07-02 20:21:50,2014-07-02 20:21:50,Test Images,Peru,S90,Test Images_Peru_20140702_222150_EK000014.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000015.JPG,EK000015.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:02 22:21:51,2014:07:02 20:21:50-07:00,2014-07-02 22:21:51,2014-07-02 20:21:50,2014-07-02 20:21:50,Test Images,Peru,S90,Test Images_Peru_20140702_222151_EK000015.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000016.JPG,EK000016.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:03 15:58:41,2014:07:03 13:58:40-07:00,2014-07-03 15:58:41,2014-07-03 13:58:40,2014-07-03 13:58:40,Test Images,Peru,S90,Test Images_Peru_20140703_155841_EK000016.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000017.JPG,EK000017.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:03 15:58:42,2014:07:03 13:58:42-07:00,2014-07-03 15:58:42,2014-07-03 13:58:42,2014-07-03 13:58:42,Test Images,Peru,S90,Test Images_Peru_20140703_155842_EK000017.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000018.JPG,EK000018.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:03 15:58:42,2014:07:03 13:58:42-07:00,2014-07-03 15:58:42,2014-07-03 13:58:42,2014-07-03 13:58:42,Test Images,Peru,S90,Test Images_Peru_20140703_155842_EK000018.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000019.JPG,EK000019.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:03 22:24:18,2014:07:03 20:24:18-07:00,2014-07-03 22:24:18,2014-07-03 20:24:18,2014-07-03 20:24:18,Test Images,Peru,S90,Test Images_Peru_20140703_222418_EK000019.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000020.JPG,EK000020.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:03 22:24:19,2014:07:03 20:24:18-07:00,2014-07-03 22:24:19,2014-07-03 20:24:18,2014-07-03 20:24:18,Test Images,Peru,S90,Test Images_Peru_20140703_222419_EK000020.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000021.JPG,EK000021.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:03 22:24:19,2014:07:03 20:24:18-07:00,2014-07-03 22:24:19,2014-07-03 20:24:18,2014-07-03 20:24:18,Test Images,Peru,S90,Test Images_Peru_20140703_222419_EK000021.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000022.JPG,EK000022.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:04 07:49:13,2014:07:04 05:49:12-07:00,2014-07-04 07:49:13,2014-07-04 05:49:12,2014-07-04 05:49:12,Test Images,Peru,S90,Test Images_Peru_20140704_074913_EK000022.JPG
U:/Test Images/Peru/S90/SDZG 1/EK000023.JPG,EK000023.JPG,U:/Test Images/Peru/S90/SDZG 1,2014:07:04 07:49:13,2014:07:04 05:49:14-07:00,2014-07-04 07:49:13,2014-07-04 05:49:14,2014-07-04 05:49:14,Test Images,Peru,S90,Test Images_Peru_20140704_074913_EK000023.JPG
